installed_name,installed_version,installed_path,installed_dev,installed_optional
@esbuild/linux-arm,0.21.5,node_modules/vite/node_modules/@esbuild/linux-arm,True,True
@esbuild/linux-arm64,0.24.0,node_modules/@esbuild/linux-arm64,True,True
@esbuild/linux-arm64,0.21.5,node_modules/vite/node_modules/@esbuild/linux-arm64,True,True
@esbuild/linux-ia32,0.24.0,node_modules/@esbuild/linux-ia32,True,True
@esbuild/linux-ia32,0.21.5,node_modules/vite/node_modules/@esbuild/linux-ia32,True,True
@esbuild/linux-loong64,0.24.0,node_modules/@esbuild/linux-loong64,True,True
@esbuild/linux-loong64,0.21.5,node_modules/vite/node_modules/@esbuild/linux-loong64,True,True
@esbuild/linux-mips64el,0.24.0,node_modules/@esbuild/linux-mips64el,True,True
@esbuild/linux-mips64el,0.21.5,node_modules/vite/node_modules/@esbuild/linux-mips64el,True,True
@esbuild/linux-ppc64,0.24.0,node_modules/@esbuild/linux-ppc64,True,True
@esbuild/linux-ppc64,0.21.5,node_modules/vite/node_modules/@esbuild/linux-ppc64,True,True
@esbuild/linux-riscv64,0.24.0,node_modules/@esbuild/linux-riscv64,True,True
@esbuild/linux-riscv64,0.21.5,node_modules/vite/node_modules/@esbuild/linux-riscv64,True,True
@esbuild/linux-s390x,0.24.0,node_modules/@esbuild/linux-s390x,True,True
@esbuild/linux-s390x,0.21.5,node_modules/vite/node_modules/@esbuild/linux-s390x,True,True
@esbuild/linux-x64,0.24.0,node_modules/@esbuild/linux-x64,True,True
@esbuild/linux-x64,0.21.5,node_modules/vite/node_modules/@esbuild/linux-x64,True,True
@esbuild/netbsd-x64,0.24.0,node_modules/@esbuild/netbsd-x64,True,True
@esbuild/netbsd-x64,0.21.5,node_modules/vite/node_modules/@esbuild/netbsd-x64,True,True
@esbuild/openbsd-arm64,0.24.0,node_modules/@esbuild/openbsd-arm64,True,True
@esbuild/openbsd-x64,0.24.0,node_modules/@esbuild/openbsd-x64,True,True
@esbuild/openbsd-x64,0.21.5,node_modules/vite/node_modules/@esbuild/openbsd-x64,True,True
@esbuild/sunos-x64,0.24.0,node_modules/@esbuild/sunos-x64,True,True
@esbuild/sunos-x64,0.21.5,node_modules/vite/node_modules/@esbuild/sunos-x64,True,True
@esbuild/win32-arm64,0.24.0,node_modules/@esbuild/win32-arm64,True,True
@esbuild/win32-arm64,0.21.5,node_modules/vite/node_modules/@esbuild/win32-arm64,True,True
@esbuild/win32-ia32,0.24.0,node_modules/@esbuild/win32-ia32,True,True
@esbuild/win32-ia32,0.21.5,node_modules/vite/node_modules/@esbuild/win32-ia32,True,True
@esbuild/win32-x64,0.24.0,node_modules/@esbuild/win32-x64,True,True
@esbuild/win32-x64,0.21.5,node_modules/vite/node_modules/@esbuild/win32-x64,True,True
@fortawesome/fontawesome-free,6.7.2,node_modules/@fortawesome/fontawesome-free,False,False
@inquirer/checkbox,4.0.4,node_modules/@inquirer/checkbox,True,False
@inquirer/confirm,5.0.2,node_modules/@inquirer/confirm,True,False
@inquirer/core,10.1.2,node_modules/@inquirer/core,True,False
@inquirer/editor,4.2.1,node_modules/@inquirer/editor,True,False
@inquirer/expand,4.0.4,node_modules/@inquirer/expand,True,False
@inquirer/figures,1.0.9,node_modules/@inquirer/figures,True,False
@inquirer/input,4.1.1,node_modules/@inquirer/input,True,False
@inquirer/number,3.0.4,node_modules/@inquirer/number,True,False
@inquirer/password,4.0.4,node_modules/@inquirer/password,True,False
@inquirer/prompts,7.1.0,node_modules/@inquirer/prompts,True,False
@inquirer/rawlist,4.0.4,node_modules/@inquirer/rawlist,True,False
@inquirer/search,3.0.4,node_modules/@inquirer/search,True,False
@inquirer/select,4.0.4,node_modules/@inquirer/select,True,False
@inquirer/type,3.0.2,node_modules/@inquirer/type,True,False
@inquirer/type,1.5.5,node_modules/@listr2/prompt-adapter-inquirer/node_modules/@inquirer/type,True,False
@isaacs/cliui,8.0.2,node_modules/@isaacs/cliui,True,False
ansi-regex,6.1.0,node_modules/@isaacs/cliui/node_modules/ansi-regex,True,False
ansi-regex,5.0.1,node_modules/ansi-regex,True,False
ansi-regex,6.1.0,node_modules/listr2/node_modules/ansi-regex,True,False
ansi-regex,6.1.0,node_modules/log-update/node_modules/ansi-regex,True,False
ansi-regex,6.1.0,node_modules/string-width/node_modules/ansi-regex,True,False
ansi-styles,6.2.1,node_modules/@isaacs/cliui/node_modules/ansi-styles,True,False
ansi-styles,4.3.0,node_modules/ansi-styles,True,False
ansi-styles,6.2.1,node_modules/listr2/node_modules/ansi-styles,True,False
ansi-styles,6.2.1,node_modules/log-update/node_modules/ansi-styles,True,False
ansi-styles,6.2.1,node_modules/slice-ansi/node_modules/ansi-styles,True,False
emoji-regex,9.2.2,node_modules/@isaacs/cliui/node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/cliui/node_modules/emoji-regex,True,False
emoji-regex,10.4.0,node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/karma/node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/string-width-cjs/node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/wrap-ansi-cjs/node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/wrap-ansi/node_modules/emoji-regex,True,False
emoji-regex,8.0.0,node_modules/yargs/node_modules/emoji-regex,True,False
string-width,5.1.2,node_modules/@isaacs/cliui/node_modules/string-width,True,False
string-width,4.2.3,node_modules/cliui/node_modules/string-width,True,False
string-width,4.2.3,node_modules/karma/node_modules/string-width,True,False
string-width,7.2.0,node_modules/string-width,True,False
string-width,4.2.3,node_modules/string-width-cjs,True,False
string-width,4.2.3,node_modules/wrap-ansi-cjs/node_modules/string-width,True,False
string-width,4.2.3,node_modules/wrap-ansi/node_modules/string-width,True,False
string-width,4.2.3,node_modules/yargs/node_modules/string-width,True,False
strip-ansi,7.1.0,node_modules/@isaacs/cliui/node_modules/strip-ansi,True,False
strip-ansi,7.1.0,node_modules/listr2/node_modules/strip-ansi,True,False
strip-ansi,7.1.0,node_modules/log-update/node_modules/strip-ansi,True,False
strip-ansi,7.1.0,node_modules/string-width/node_modules/strip-ansi,True,False
strip-ansi,6.0.1,node_modules/strip-ansi,True,False
strip-ansi,6.0.1,node_modules/strip-ansi-cjs,True,False
wrap-ansi,8.1.0,node_modules/@isaacs/cliui/node_modules/wrap-ansi,True,False
wrap-ansi,7.0.0,node_modules/cliui/node_modules/wrap-ansi,True,False
wrap-ansi,7.0.0,node_modules/karma/node_modules/wrap-ansi,True,False
wrap-ansi,9.0.0,node_modules/listr2/node_modules/wrap-ansi,True,False
wrap-ansi,9.0.0,node_modules/log-update/node_modules/wrap-ansi,True,False
wrap-ansi,6.2.0,node_modules/wrap-ansi,True,False
wrap-ansi,7.0.0,node_modules/wrap-ansi-cjs,True,False
@isaacs/fs-minipass,4.0.1,node_modules/@isaacs/fs-minipass,True,False
@istanbuljs/schema,0.1.3,node_modules/@istanbuljs/schema,True,False
@jridgewell/gen-mapping,0.3.8,node_modules/@jridgewell/gen-mapping,True,False
@jridgewell/resolve-uri,3.1.2,node_modules/@jridgewell/resolve-uri,True,False
@jridgewell/set-array,1.2.1,node_modules/@jridgewell/set-array,True,False
@jridgewell/source-map,0.3.6,node_modules/@jridgewell/source-map,True,False
@jridgewell/sourcemap-codec,1.5.0,node_modules/@jridgewell/sourcemap-codec,True,False
@jridgewell/trace-mapping,0.3.25,node_modules/@jridgewell/trace-mapping,True,False
@jsonjoy.com/base64,1.1.2,node_modules/@jsonjoy.com/base64,True,False
